Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
Bigdeal100,Counterfeits/Clothing,Paul&Shark men jeans replica SH4-85,Brand: Paul&Shark color: as the image shows size: 29/ 30/ 31/ 32/ 33/ 34/ 35/ 36/ 38/ 40/ 42 material:jean For more information  please contact me by the following email  and  before you send me  ...,0.2208475116393442 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Gucci leatherbelt(black/brown/white)G2-49,belt color:black/brown/white  material:cowhide belt   belt width:3.7cm   length:105cm/110cm/115cm/120cm(Please select the correct length according to your waistline) For more images  please conta ...,0.18939179649999988 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Burberry Cashmere Scarf Replica,◆ Burberry Checked Cashmere Scarf Replica ◆  ★ For whom(M/F): Unisex  ★ Description: This Burberry Checked Cashmere Scarf is 1:1 replica  top Grade Quality Guaranteed. It comes with original pac ...,0.2159740201754386 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,MiuMiu 3.5 Cm Platform Pump with 11.5cm diamond high heels,Designer shoes with the same material and design as the authentic. We have our own professional team to ensure that our goods are perfect. Not only it looks but also the touch are the same as the ori ...,0.3219345713043479 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Chanel Wallet Sheepskin Leather Replica 11-128 Black,"Chanel Wallet Sheepskin Leather Size: L19 x H11 x W2.5cm(1"" = 2.54cm) - Sheepskin leather - metal CC logo - Shiny Silver hardware - Snap closur - 12 credit card slots - Black Chanel Wallet Co ...",0.23734605158878505 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Chanel Classic 2.55 Series Flap Bag AAAAReplica,Chanel Classic 2.55 Series Flap Bag  - Black Soft SheepLeather - Golden and Silver Hardware - Black Leather Interlaced Chain with Hardware - Chanel CC logo closure on the front - Open pocket on ...,0.38016207312499994 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Alexander McQueen Summer wear men's short sleeve T-shirt (green/white/gray) MCQ6-55,color:green/white/gray size: 170/90(M) 175/95(L) 180/100(XL) 185/105(XXL) 190/110(XXXL) material: cotton  For more information  please contact me by the following email  and  before you send me em ...,0.16171574578947367 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Dsquared AAA Straight Jeans For Men replica,Size :28  29  30  31 32  33 34  35  36  37 38  We provide guarantee quality and durability for our products. For more details  please send me message  I will email you more pictures via safemail .. ...,0.16833428038461543 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Prada casual shoes for men,1:1 replica designer shoes with the same material and design as the authentic. We have our own professional team to ensure that our goods are perfect. Not only it looks but also the touch are the sam ...,0.328813402753623 BTC,China,,4.96/5,
meowtime,Counterfeits/Clothing,Nike Air Max 90 VT *Dark Gray*,----------------------------------------------------  NIKE AIRMAX 90 VT's  •COLOR•   Dark Gray   •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 46  See size chart for ...,0.20680364079365077 BTC,China,Worldwide,1~2 deals,
Bigdeal100,Counterfeits/Clothing,Ray·Ban sunglass Dazzle colour lens R1-128,Lens material : resin Color: blue/ gold /green/ red /silver/purple/black Glasses accessories: package eyeglasses cloth  glasses case  tags  etc. For more details and images  please contact me by t ...,0.23810410676470586 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Alexander McQueen Summer wear men's short sleeve T-shirt (white) MCQ9-49,color: white size: 170/90(M) 175/95(L) 180/100(XL) 185/105(XXL) material: cotton  For more information  please contact me by the following email  and  before you send me email  please PM here. Co ...,0.13680099982142854 BTC,China,,4.96/5,
meowtime,Counterfeits/Clothing,Nike Free Run 4.0 V2 *Blue*,----------------------------------------------------  NIKE Free Run 4.0 V2  •COLOR•   Blue  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 44  See size chart for conv ...,0.20680810547619044 BTC,China,Worldwide,1~2 deals,
Mike,Counterfeits/Clothing,Leather Louis Vuitton Sneakers (black),This is for 1X pair of high-quality counterfeit Leather Louis Vuitton sneakers.  These sneakers with Genuine Leather come in a Louis Vuitton branded box and are brand new. They look exactly the sam ...,0.5217763804464284 BTC,HongKong,,4.67/5,
Mike,Counterfeits/Clothing,Diesel Jeans #M5,This is for 1X high-quality counterfeit Diesel Jeans.  The quality of this Jeans is amazing  comes with Diesel logo above the right side pocket and with original labels inside and outside.  You g ...,0.23422466362831856 BTC,HongKong,,4.67/5,
Bigdeal100,Counterfeits/Clothing,Alexander McQueen Summer wear men's short sleeve T-shirt (black/white/gray) MCQ3-38,color:black/white/gray size: 170/90(M) 175/95(L) 180/100(XL) 185/105(XXL) 190/110(XXXL) material: cotton  For more information  please contact me by the following email:  bigdeal100@safe-mail.net,0.11961392509090914 BTC,China,,4.96/5,
meowtime,Counterfeits/Clothing,Nike Free Run 5.0 V4 *Black & Red*,----------------------------------------------------  NIKE Free Run 5.0 V4  •COLOR•   Black & Red  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 44  See size chart f ...,0.20603677867187495 BTC,China,Worldwide,1~2 deals,
AsianVixene,Counterfeits/Clothing,D&G Suits 95% Wool Replica Collection,Fabric material: Wool Wool content: 95% Size - 44(XS) 46(S) 48(M) 50(L) 52(XL) 54(XXL) 56(XXXL) 58(XXXXL) 60(XXXXXL)  Additional Pictures -http://s1296.photobucket.com/user/AsianVixen6/library/D% ...,0.7812470119999999 BTC,Torland,Worldwide,~5/5,Average price may be skewed outliar > .5 BTC found
meowtime,Counterfeits/Clothing,Nike Free Run 3.02 *Black*,----------------------------------------------------  NIKE Free Run 3.02  •COLOR•   Black  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 45  See size chart for conve ...,0.20723559623999993 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike FS Lite Run *Light Gray & Orange*,----------------------------------------------------  NIKE FS Lite Run  •COLOR•   Light gray & Organge  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 45  See size ch ...,0.24139796669291344 BTC,China,Worldwide,1~2 deals,
AsianVixene,Counterfeits/Clothing,Armani Business man suit Replica,This item is super high quality it was our best seller on SR Fabric material: Wool Wool content: 80% -89% Size - 44(XS) 46(S) 48(M) 50(L) 52(XL) 54(XXL) 56(XXXL) 58(XXXXL) 60(XXXXXL) Colors - Bla ...,0.5710163381012661 BTC,Torland,Worldwide,~5/5,
meowtime,Counterfeits/Clothing,Nike Air Max 90 VT *Tan*,----------------------------------------------------  NIKE AIRMAX 90 VT's  •COLOR•   Tan  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 46  See size chart for conver ...,0.20656496999999993 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Pepper Low *Black*,----------------------------------------------------  NIKE Pepper Low  •COLOR•   Black  •SIZES•   EUR 39 to 44 See size chart for conversion:  *Clearnet* www.shoesizingcharts.com *Clearne ...,0.20750064443548386 BTC,China,,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Roshe Run *Blue*,----------------------------------------------------  NIKE Roshe Run  •COLOR•   Blue  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 39 to 44 See size chart for conversion: ...,0.20784980227642272 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Free Run 4.0 V3 *Fluro Orange*,----------------------------------------------------  NIKE Free Run 4.0 V3  •COLOR•   Fluro orange  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 45  See size chart  ...,0.20726636887096775 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Free Run 5.0 V4 *Dark Gray & Blue*,----------------------------------------------------  NIKE Free Run 5.0 V4  •COLOR•   Dark Gray & Blue  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 44  See size ch ...,0.20746054992 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Free Run 4.0 V2 *Black*,----------------------------------------------------  NIKE Free Run 4.0 V2  •COLOR•   Black  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 45  See size chart for con ...,0.20718516551999996 BTC,China,Worldwide,1~2 deals,
AsianVixen,Counterfeits/Clothing,Versace Cashmere Scarf,100% Cashmere Scarf Scarf size: 190x30cm Box size: 32 * 17cm  Perfect Gift To both genders Male or Female  Any question contact us  Additional pictures-,0.10697845999999998 BTC,,,[0 deals],
meowtime,Counterfeits/Clothing,Nike Air Max 90 VT *Blue-gray*,----------------------------------------------------  NIKE AIRMAX 90 VT's  •COLOR•   Blue-gray  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 46  See size chart for  ...,0.20747388552 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Pepper Low *Dark Gray*,----------------------------------------------------  NIKE Pepper Low  •COLOR•   Dark gray  •SIZES•   EUR 39 to 44 See size chart for conversion:  *Clearnet* www.shoesizingcharts.com *Cle ...,0.20683521199999994 BTC,China,,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Free Run 4.0 V3 *Blue & Slate*,----------------------------------------------------  NIKE Free Run 4.0 V3  •COLOR•   Blue & Slate  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 45  See size chart  ...,0.20749604225806448 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Roshe Run *Black & Gray*,----------------------------------------------------  NIKE Roshe Run  •COLOR•   Black & Gray  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 39 to 44 See size chart for con ...,0.20712474103999995 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Air Max 90 VT *Slate*,----------------------------------------------------  NIKE AIRMAX 90 VT's  •COLOR•   Slate  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 36 to 46  See size chart for conv ...,0.20723277887999994 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Air Max 90 VT *Black*,----------------------------------------------------  NIKE AIRMAX 90 VT's  •COLOR•   Black  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 46  See size chart for conv ...,0.20712843239999995 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Free Run 5.0 V4 *Gray & Black*,----------------------------------------------------  NIKE Free Run 5.0 V4  •COLOR•   Gray & Black  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 44  See size chart  ...,0.20667968209677418 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike FS Lite Run *Blue*,----------------------------------------------------  NIKE FS Lite Run  •COLOR•   Blue  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 40 to 45  See size chart for conversi ...,0.2418603278571429 BTC,China,Worldwide,1~2 deals,
meowtime,Counterfeits/Clothing,Nike Free Run 4.0 V3 *Navy Blue & Oragne*,----------------------------------------------------  NIKE Free Run 4.0 V3  •COLOR•   Navy blue & Orange  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 39 to 44  See size  ...,0.20749604225806448 BTC,China,Worldwide,1~2 deals,
AsianVixen,Counterfeits/Clothing,Armani Business man suit Replica,Fabric material: Wool Wool content: 80% -89% Size - 44(XS) 46(S) 48(M) 50(L) 52(XL) 54(XXL) 56(XXXL) 58(XXXXL) 60(XXXXXL) Colors - Black   Dark blue Set include bag hanger pants Additional Pictu ...,0.368677052 BTC,HongKong,Worldwide,[0 deals],
meowtime,Counterfeits/Clothing,Nike Free Run 3.02 *Navy Blue*,----------------------------------------------------  NIKE Free Run 3.02  •COLOR•   Navy Blue  •SIZES•   PLEASE INDICATE WHAT SIZE YOU WANT IN MESSAGE  EUR 39 to 45  See size chart for c ...,0.20786996601626012 BTC,China,Worldwide,1~2 deals,
Bigdeal100,Counterfeits/Clothing,Diesel men Straight Jeans replica-139,Brand: Diesel color: as the image shows size: 29/ 30/ 31/ 32/ 33/ 34/ 36/ 38 material:jean more images link : https://anonfiles.com/file/0162510e29cb41ab9271319930db5f71 https://anonfiles.com/f ...,0.2849719336363636 BTC,,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Gucci Reversible Belt with Interlocking G Buckle Replica,◆ Gucci Belt with G buckle Replica ◆  ★ For whom(M/F): Unisex  ★ Description: This Gucci Belt with Interlocking G buckle is 1:1 replica  top Grade Quality Guaranteed.  ★ Material: ☆Belt: Beig ...,0.40547462016260183 BTC,,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Gucci Horsebit Driver Shoes Replica,◆ Gucci Horsebit Driver Shoes Replica ◆  ★ For whom(M/F): Male  ★ Description: These Gucci Horsebit Driver Shoes are 1:1 replica  top Grade Quality Guaranteed.  ★ Material: Calfskin ★ Color:  ...,0.31504097187499996 BTC,,,4.96/5,
Bigdeal100,Counterfeits/Clothing,D&G Sneakers Replica,◆ D&G Sneakers Replica ◆  ★ For whom(M/F): Male  ★ Description: D&G Sneakers are 1:1 replica  top Grade Quality Guaranteed.  ★ Material: ☆Calfskin leather upper and lining/rubber sole. ★ Col ...,0.2836484482000001 BTC,,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Chanel Classic Black Lizardskin Flap Bag replica Silver 9-128,"Size: Big : W31 x H18 x D8cm (1"" = 2.54CM) Small : W28 x H18 x D7.5cm - Lizardskin Leather(Calf leather) - Silver hardware - Silver chain shoulder strap - Flap closure with Mademoiselle lock - ...",0.26809920899999984 BTC,China,,4.96/5,
Bigdeal100,Counterfeits/Clothing,Nike Air Jordan IV Shoes replica,◆ Nike Air Jordan IV Shoes replica ◆  ★ For whom(M/F): Unisex  ★ Description: These Nike Air Jordan IV Shoes are 1:1 exactly replica  top Grade Quality Guaranteed.  ★ Size: 37-46 .  ☆Please s ...,0.33155527302325594 BTC,,,4.96/5,
freestylerfreak13a,Information/eBooks,eBay Method - 100% Working - NEW - Make Money From eBay FAST!,eBay Method - 100% Working - NEW - Make Money From eBay FAST!  This method can be aplied on other products as well:).  Whitehat method 100% working and legal  download PM,0.043460574871794874 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Amphetamine synthesis from bitter almond oil,Noob friendly discription how to make an  Amphetamine synthesis from bitter almond oil  in German  but easy to translate.  Everybody know how difficult it is to get the right chemicals  this eb ...,0.03079217688888888 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Arsenal of Improofed Weapons,How to make weapons out of zigaretts  toothbrush  pips  pens  zips and many more ...  sample!!,0.009120179772727272 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,1 STEALTH PAYPAL ACCOUNT CREATION GUIDE AND HOW TO WITHDRAW,Unlimited Stealth Paypal Accounts and How to Withdraw pdf guide. + the screw-paypal.com toolkit pro 2013 megaguide pdf      ALL The Secret Information That eBay & PayPal Doesn't Want You To Kn ...,0.028867606060606055 BTC,,,4.96/5,
freestylerfreak13a,Information/eBooks,Amphetamine sulphate easy to cook with OTC (Over the Counter Products) in German,Amphetamine sulphate easily be made with OTC (Over-The-Counter) products.  Learn where you get the ingredients and how the amphetamine sulfate is cooked. (Elektrolytic Reduction)  Everybody know ...,0.032878023076923064 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Buy Bitcoins With Paypal  Paysafe  Credit- Debit C,"An Easy Description with pictures how to:   You can buy complett anonymous bitcoins or change if you take an fake ID   ""Buy Bitcoins With Paypal  Paysafe  Skrill  Netteller  Sofortüberweisung & C ...",0.04156880238095238 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,How I have made 100's of dollars over a week,How I have made 100's of dollars over a week  This does NOT involve:  PPD Refferals CPA Investments Phones SEO Youtube Blackmailing Adsense Craigslist BTC Ewhoring  FAQ:  Q: How mu ...,0.04393111299999999 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,How to make $50 A DAY with CPC,Hi there   You are reading this because you have taken a HUGE step to making a great sum of money online by purchasing this eBook.  I can promise you that you WILL earn money from the methods I h ...,0.043178048249999997 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,How to earn Bitcoins without Infections !!!,How to earn Bitcoins without Infections !!  in a few steps program or mining and make other mining for you ...  MAKE OTHER MINING FOR YOU !!!  100% working  download PM,0.02017621162790698 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Inviting Codes for Marketplaces,6 Marketplaces                                  + Outlaw Marketplace                    + Agora Marketplace                   + Dream Marketplace                   + Drug List                   ...,0.011583197096774196 BTC,Torland,everywhere,4.96/5,
freestylerfreak13a,Information/eBooks,How do profit illegal from Bitcoins,How do profit illegal from Bitcoin.  Cybercrime and much more ...  100% working   download PM,0.01745319977777777 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,The Great Big Narcotics Cookbook,Description The Great Big Narcotics Cookbook  Content:  Chapter1: How to Make LSD  Chapter2: How to make Crack Cocain  Chapter3: How to make Meth  Chapter4: How to make GHB  Chapter5: Le ...,0.02215779522727273 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,How to access I2P Side for Hidden Marketplaces,How to access I2P Sides for Hidden Marketplaces   The following guide describes how to connect to and place your first order.  Note:   The Marketplace is on I2P which is slow compared to TOR   ...,0.017573209512195122 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,40 unique ways to make money online,This is an ebook about 40 unique and testet methodes to make money online.  100% working  Whitehat methods   download PM,0.014456260666666667 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Cashing out Bitcoin with Prepaid VISA Cards,For all them who want to buy bitcoins   you can make it total anonymous with fake ID everything explaind in the ebook   For those unaware there’s a Polish Bank named Bank Zachodni WBK who issue  ...,0.04232464536585366 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Big List of Onion Sites,This listing is for a big list of onion sites....most onion sites in existence actually as we speak.  Well over 100 sites listed!  WANTED: ONION LINKS!,0.01609568268656716 BTC,Torland,everywhere,4.96/5,
freestylerfreak13a,Information/eBooks,Uncle_Fester_-_Secrets_of_Methamphetamine_Manufacture_3rd_ed,"The 3rd Collection of the legendary Uncle Fester a great Meth cook.  "" The secret of Methamphetamine"" download PM",0.03128611068181817 BTC,Torland,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,Drug Smugglers on Drug Smuggling: Lessons from the Inside,Drug Smugglers on Drug Smuggling examines the organizational structures of drug smuggling from Colombia to the US. Career drug smugglers describe a series of often disconnected networks that enable s ...,0.0288661376923077 BTC,Torland,everywhere,4.96/5,
freestylerfreak13a,Information/eBooks,80 ways to make money online,80 ways to make easy money online  100% working  Whitehat method  download PM,0.020925574651162793 BTC,,worldwide,4.96/5,
freestylerfreak13a,Information/eBooks,MEGA CARDING COLLECTON OF 63 TUTORIALS WORTH 100$,"> THIS PACK CONTAINS AS FOLLOWS  > 1.	 About MMORPG  > 2.	All About cashing  > 3.	Antifraud systems working  > 4.	Applied Cryptography for Magnetic Stripe cards  > 5.	ATM Hacking Tutorial ...",0.080481747761194 BTC,Torland,everywhere,4.96/5,
blackhand,Information/eBooks,Breaking Open the Head: A Psychedelic Journey,A dazzling work of personal travelogue and cultural criticism that ranges from the primitive to the postmodern in a quest for the promise and meaning of the psychedelic experience.  While psychedel ...,0.004696964846153846 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Ultimate Guide to Using Tor privately and anonymously,A digital download of The Begginer's Guide to Using the Darknet v0.1.6 written by The Black Hand(that's me) will be sent to buyer via PM (with the takedown of Tormail  I cannot currently send via em ...,0.024849368846153852 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,LSD: A Documentary Report,"This LP was created and released in 1966 by Capitol Records as a response to the burgeoning use of LSD -- lysergic acid diethylamide -- among American teenagers. The rear album jacket proclaims ""A do ...",0.0062368207874015785 BTC,Internet,,4.99/5,
fake,Information/eBooks,BE A PERPETUAL TRAVELLER,HOW TO BE A PERPETUAL TRAVELLERS   “On very good authority I’ve heard that Dr P. T. Hill is dead. He died in a canoe on the upper Amazon while in the act of deflorating [Editor’s note: ‘piercing ...,0.01570880390625 BTC,,,4.782/5,
blackhand,Information/eBooks,Otto Snow Complete Collection,Digital download sent via PM  Contents:  THC & Tropacocaine THC is a new miracle medication  used to treat sleep disorders allergies  inflammatory diseases  auto immune disorders  migraines  add ...,0.004694105384615385 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Hacking Exposed Computer Forensics  Second Edition: Computer Forensics Secrets & Solutions,"Digital Download sent via PM  ""Provides the right mix of practical how-to knowledge in a straightforward  informative fashion that ties it all the complex pieces together with real-world case studi ...",0.004697165193798451 BTC,Internet,,4.99/5,
optiman,Information/eBooks,Complete Idiot's Guide to Amazing Sex,Most people know that there’s more to sex than the missionary position. But to make sex really hot  some people need a little guidance. That’s where acclaimed sex educator—and WCBS-TV relationship co ...,0.010265855 BTC,USA,Worldwide,5.00/5,
blackhand,Information/eBooks,Mastering Astral Projection: 90-day Guide to Out-of-Body Experience,Digital Download sent via PM  Includes the book as well as the contents of the included CD  Projecting out-of-body requires a delicate balance of mind  body  and spirit. Mastering Astral Projecti ...,0.004677422677165355 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Arrest-Proof Yourself,This essential “how not to” guide explains how to act and what to say in the presence of police to minimize the chances of being arrested and to avoid add-on charges—which can often lead to permanent ...,0.00468879945736434 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Cocaine Nation: How the White Trade Took Over the World,Digital download sent via PM  Cutting through the myths about the white trade  this is the story of cocaine as it's never been told before.  Cocaine is big business and getting bigger. Government ...,0.004683908914728684 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,HACKING EXPOSED WEB APPLICATIONS  3rd Edition,Digital download sent via PM  The latest Web app attacks and countermeasures from world-renowned practitioners  Protect your Web applications from malicious attacks by mastering the weapons and t ...,0.004680400787401574 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Ecstasy : The Complete Guide : A Comprehensive Look at the Risks and Benefits of MDMA,Digital download sent via PM   • The world's leading experts on Ecstasy assess its therapeutic potential  social implications  and the dangers of unsupervised use.  • Includes chapters by Andrew ...,0.0046943646923076916 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Cleansing the Doors of Perception: The Religious Significance of Entheogenic Plants and Chemicals,In this book  renowned philosopher and scholar of religion Huston Smith  takes a serious look at the use of psychedelic drugs as a means to achieve mystical union with the divine. In a unique blend o ...,0.004662221782945738 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,14 Illegal Banned Books,CONTENTS :  Defeating Electromagnetic Door Locks Hidden Street Weapons Improvised Lock Picks Anarchist Cookbook IV 4.14 Jack tha Rippa - Murder Inc. Beginners Guide to Growing Mushrooms How t ...,0.01407780673076923 BTC,Torland,,4.92/5,
blackhand,Information/eBooks,It's None of Your Business: A Complete Guide to Protecting Your Privacy  Identity and Assets,Digital Download sent via PM  The new 4th edition of It's None of Your Business is truly the best yet. Written for the average person who wants to maintain their privacy and freedoms  this book is  ...,0.00467022880952381 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,How made Cyanide and Ricin,Cyanide is the granddaddy of synthetic poisons. Easily made from common chemicals  cyanide is used as is for poisoning bullets and food  and is used in the making of Hydrogen Cyanide  Cyanogen Chlori ...,0.024868730666666675 BTC,Torland,,4.92/5,
fake,Information/eBooks,The Shellcoder’s Handbook,The Shellcoder’s Handbook Discovering and Exploiting Security Holes Second Edition,0.015680151181102348 BTC,,,4.782/5,
fake,Information/eBooks,SECRETS OF A SUPER HACKER,SECRETS OF A SUPER HACKER By The Knightmare,0.018894704399999983 BTC,,,4.782/5,
blackhand,Information/eBooks,antipodes of the mind - charting the phenomenology of the ayahua,This is a pioneering cognitive psychological study of Ayahuasca  a plant-based Amazonian psychotropic brew. Benny Shanon presents a comprehensive charting of the various facets of the special state o ...,0.00467702046875 BTC,Internet,,4.99/5,
optiman,Information/eBooks,DMT The Spirit Molecule - Strassman,n 1990  I began the first new human research with psychedelic  or hallucinogenic  drugs in the United States in over 20 years. These studies investigated the effects of N N-dimethyltryptamine  or DMT ...,0.00493206 BTC,USA,Worldwide,5.00/5,
fake,Information/eBooks,PAYPAL: THE DARKSIDE EBOOK,PAYPAL: THE DARKSIDE EBOOK    CONTENTS INTRODUCTION..…………………………………………………………………………………..………….….…...Page 5 All The Reasons Why PayPal Might Limit Your Account……………….………………………….….Page 6 Restoring  ...,0.02830715937007875 BTC,,,4.782/5,
blackhand,Information/eBooks,Organic Chemistry Demystified 2/E,Digital download sent via PM  You don't need genius DNA to master organic chemistry!  Whether you're taking a chemistry class or studying for the MCAT or DAT  Organic Chemistry Demystified is you ...,0.0046708303125000015 BTC,Internet,,4.99/5,
fake,Information/eBooks,ANAL SEX TUTORIAL,Guide on anal sex.,0.015660788095238087 BTC,,,4.782/5,
blackhand,Information/eBooks,Hacking Windows XP (ExtremeTech),Digital download sent via PM  Get ready for some down-and-dirty hackin'! Over 200 serious hacks readers can use to force Windows XP to do it their way  written in the ExtremeTech no-holds-barred st ...,0.004671061953125001 BTC,Internet,,4.99/5,
blackhand,Information/eBooks,Men's Fitness Workout Manual - Your Guide To Building Muscle And Burning Fat,Digital download sent via PM  Men's Fitness Workout Manual - Your Guide To Building Muscle And Burning Fat 2013  English PDF 148 pages 101.53 MB  Men's Fitness Workout Manual - your guide to ...,0.004683707364341085 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,Psychic seduction,Containing highly controversial techniques of psychic seduction  this book merely serves as a tool to promulgate hidden knowledge as a form of entertainment. In no way does the author endorse the use ...,0.01046326907407407 BTC,Torland,,4.92/5,
blackhand,Information/eBooks,Social Engineering: The Art of Human Hacking,Digital download sent via PM  The first book to reveal and dissect the technical aspect of many social engineering maneuvers From elicitation  pretexting  influence and manipulation all aspects of ...,0.004694173230769233 BTC,Internet,,4.99/5,
optiman,Information/eBooks,The Art And Science Of Cooking With Cannabis,how to cook with cannabis  Best wishes  Optiman,0.008513680740740744 BTC,USA,Worldwide,5.00/5,
Hackyboy,Information/eBooks,Growing marijuana 10 ebooks,All info and tips to grow marijuana,0.020926599444444447 BTC,Torland,,4.92/5,
optiman,Information/eBooks,How To - MDMA Synthesis Complete guide,The best MDMA synthesis guide on darknet!  This MDMA synthesis guide is the most detailed and in-depth guide on darknet. Even includes pictures!  This guide is set at a very affordable price. Th ...,0.017150845740740748 BTC,USA,Worldwide,5.00/5,
blackhand,Information/eBooks,Body Language: How To Read Others' Thoughts By Their Gestures,Digital download sent via PM  We all know that what people say is often very different from what they think or feel. Now with Body Language  you can learn to read others' thoughts by their gestures ...,0.004705673953488372 BTC,Internet,,4.99/5,
Hackyboy,Information/eBooks,Anarchist Cookbook IV,CONTENTS :  001: Counterfeiting Money 002: Credit Card Fraud 003: Making Plastic Explosives from Bleach 004: Picking Master Locks 005: The Arts of Lockpicking I 006: The Arts of Lockpicking II ...,0.02007886870370371 BTC,Torland,,4.92/5,
blackhand,Information/eBooks,When a Man Makes Love to a Woman,Digital Download  When a Man Makes Love to a Woman   increase net David Michaels English ISBN ....N/A 1999 PDF 147 pages 596 KB   Contents: Introduction  Before sex (Mind and Body  Sex ...,0.004702152290076334 BTC,Internet,,4.99/5,
